Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,Clinical_Feasibility,Detection_Method,Sample_Type,N_Tissues,Tissues_List,Direction_Consistency,Predominant_Direction,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Max_Abs_Zscore_Delta,Std_Zscore_Delta,Signal_to_Noise,Age_Discrimination,P_Value,Biomarker_Score
SPATA31C1,Spermatogenesis-associated protein 31C1 OS=Homo sapiens GN=SPATA31C1 PE=2 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.0762648172706714,0.2813191614932949,0.0762648172706714,0.3575839787639663,0.3978453735392446,0.7071067811865475,0.2813191614932949,,0.14219787422399424
TROVE2,60 kDa SS-A/Ro ribonucleoprotein OS=Homo sapiens GN=TROVE2 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,1,Glomerular,1.0,DOWN,-0.0331280997823206,0.0331280997823206,-0.0331280997823206,0.0331280997823206,,0.0,0.0331280997823206,,0.2049692149673481
RRAS,Ras-related protein R-Ras OS=Homo sapiens GN=RRAS PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.1385271074301897,0.3042365930138444,0.1385271074301897,0.4427637004440341,0.4302555160103624,0.7071067811865476,0.3042365930138444,,0.14563548895207667
HLA-C,"HLA class I histocompatibility antigen, Cw-5 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.022704935174046748,0.05253561603737665,0.022704935174046748,0.0752405512114234,0.07429658070768354,0.7071067811865475,0.05253561603737665,,0.1078803424056065
DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.03269771003152165,0.07468141627433975,-0.03269771003152165,0.1073791263058614,0.10561547175240205,0.7071067811865476,0.07468141627433975,,0.11120221244115097
TXN,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.25574964936719413,0.2981257083791804,-0.25574964936719413,0.5538753577463745,0.42161342008192326,0.7071067811865474,0.2981257083791804,,0.14471885625687705
COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.09608836855353099,0.14877311133306098,0.09608836855353099,0.244861479886592,0.21039695176365725,0.7071067811865476,0.14877311133306098,,0.12231596669995914
MGST1,Microsomal glutathione S-transferase 1 OS=Homo sapiens GN=MGST1 PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.17442788338085655,0.17442788338085655,0.17442788338085655,0.339969716955681,0.23411150618162652,0.7450632659017336,0.17442788338085655,,0.2261641825071285
HSPD1,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.00979154268258435,0.07864263712696505,0.00979154268258435,0.0884341798095494,0.11121748400573987,0.7071067811865475,0.07864263712696505,,0.11179639556904476
HSPA5,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.10311616876194796,0.31286428958967727,-0.10311616876194796,0.4159804583516252,0.44245692151994515,0.7071067811865475,0.31286428958967727,,0.1469296434384516
MAP2,Microtubule-associated protein 2 OS=Homo sapiens GN=MAP2 PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,1,Glomerular,1.0,UP,0.1637627022054395,0.1637627022054395,0.1637627022054395,0.1637627022054395,,0.0,0.1637627022054395,,0.22456440533081592
LIPC,Hepatic triacylglycerol lipase OS=Homo sapiens GN=LIPC PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.10377899334241811,0.1517251454671206,0.10377899334241811,0.2555041388095387,0.21457175847263268,0.7071067811865475,0.1517251454671206,,0.1227587718200681
SLC2A2,"Solute carrier family 2, facilitated glucose transporter member 2 OS=Homo sapiens GN=SLC2A2 PE=1 SV=1",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.4569839015700776,0.4569839015700776,-0.4569839015700776,0.6285858652033665,0.2426818243000517,1.8830577975426084,0.4569839015700776,,0.26854758523551164
EPB41,Protein 4.1 OS=Homo sapiens GN=EPB41 PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.2182082292143101,0.2182082292143101,0.2182082292143101,0.4361565719770803,0.30822550223184964,0.7079499510399765,0.2182082292143101,,0.23273123438214652
UMPS,Uridine 5'-monophosphate synthase OS=Homo sapiens GN=UMPS PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.1270994320866293,0.1270994320866293,0.1270994320866293,0.2010795743732787,0.1046237205680709,1.214824242499913,0.1270994320866293,,0.2190649148129944
PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.20764149540103882,0.20764149540103882,-0.20764149540103882,0.2800540132757224,0.10240676486396164,2.0276150279414864,0.20764149540103882,,0.23114622431015583
DBT,"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DBT PE=1 SV=3",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.03030816968928725,0.03030816968928725,-0.03030816968928725,0.058437231057249,0.03978050008339659,0.7618850850479163,0.03030816968928725,,0.2045462254533931
PYGB,"Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.14072469410861194,0.16476205616563594,-0.14072469410861194,0.3054867502742479,0.23300873439391998,0.7071067811865475,0.16476205616563594,,0.12471430842484539
RALA,Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.05235573859341801,0.256875797651756,0.05235573859341801,0.309231536245174,0.3632772368845202,0.7071067811865475,0.256875797651756,,0.1385313696477634
SPTB,"Spectrin beta chain, erythrocytic OS=Homo sapiens GN=SPTB PE=1 SV=5",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.02793438674926664,0.24346326020855646,0.02793438674926664,0.2713976469578231,0.34430904452651045,0.7071067811865475,0.24346326020855646,,0.13651948903128347
ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.11801210448542596,0.11801210448542596,0.11801210448542596,0.1489110955195165,0.043697772184055524,2.7006435016494112,0.11801210448542596,,0.2177018156728139
TOP1,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.26516494662342144,0.3214374953794507,0.26516494662342144,0.5866024420028721,0.4545812654208583,0.7071067811865475,0.3214374953794507,,0.14821562430691762
TOP2A,DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.25182368400470034,0.25182368400470034,-0.25182368400470034,0.2674119495949821,0.022045136611650282,11.423094736986936,0.25182368400470034,,0.23777355260070507
PC,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.001528619073202446,0.11108313288852906,0.001528619073202446,0.1126117519617315,0.1570952730818506,0.7071067811865476,0.11108313288852906,,0.11666246993327936
EPX,Eosinophil peroxidase OS=Homo sapiens GN=EPX PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.21052124767578284,0.21052124767578284,-0.21052124767578284,0.2590585008517985,0.06864204172185791,3.0669432667639587,0.21052124767578284,,0.23157818715136744
ADH5,Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.22480443557826574,0.22480443557826574,-0.22480443557826574,0.3619977083652139,0.19402058704165376,1.1586627945311962,0.22480443557826574,,0.23372066533673988
FABP2,"Fatty acid-binding protein, intestinal OS=Homo sapiens GN=FABP2 PE=1 SV=2",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.41004319886198815,0.45526147006815765,-0.41004319886198815,0.8653046689301458,0.6438369453963014,0.7071067811865475,0.45526147006815765,,0.16828922051022366
SLC25A4,ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.008022281658630892,0.3004200449001065,-0.008022281658630892,0.3084423265587374,0.4248581019064648,0.7071067811865475,0.3004200449001065,,0.145063006735016
PIP,Prolactin-inducible protein OS=Homo sapiens GN=PIP PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.17219957847058656,0.18247757848971055,-0.17219957847058656,0.3546771569602971,0.25806226632914964,0.7071067811865475,0.18247757848971055,,0.1273716367734566
CKB,Creatine kinase B-type OS=Homo sapiens GN=CKB PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.1763154140736431,0.1763154140736431,-0.1763154140736431,0.2824026793331354,0.15003004932504607,1.1752006672453246,0.1763154140736431,,0.22644731211104646
PEPD,Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.06467002809696759,0.4367908500383711,0.06467002809696759,0.5014608781353387,0.6177155440447372,0.7071067811865475,0.4367908500383711,,0.16551862750575566
XRCC6,X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.2490557082038563,0.2490557082038563,-0.2490557082038563,0.4598254753621145,0.2980734632534281,0.8355514291190159,0.2490557082038563,,0.23735835623057847
XRCC5,X-ray repair cross-complementing protein 5 OS=Homo sapiens GN=XRCC5 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.25881403312674794,0.25881403312674794,-0.25881403312674794,0.3247056383980373,0.09318480182119192,2.7774275211034354,0.25881403312674794,,0.2388221049690122
COX4I1,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.16193160643565194,0.16193160643565194,-0.16193160643565194,0.2287480977865557,0.09449278825863268,1.7136927528525774,0.16193160643565194,,0.2242897409653478
RNH1,Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.42868448387750163,0.42868448387750163,-0.42868448387750163,0.6218131438270771,0.2731251701836312,1.5695531963944689,0.42868448387750163,,0.26430267258162526
EEF2,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.011425405145004147,0.13572928512183985,0.011425405145004147,0.147154690266844,0.19195019583051065,0.7071067811865476,0.13572928512183985,,0.12035939276827598
KRT10,"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.1301598205625463,0.1301598205625463,0.1301598205625463,0.1709484490905818,0.057683831654945936,2.256435067301673,0.1301598205625463,,0.21952397308438196
KRT13,"Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.1323117796036777,0.2898022433222577,-0.1323117796036777,0.4221140229259354,0.40984226291248455,0.7071067811865475,0.2898022433222577,,0.14347033649833865
C6,Complement component C6 OS=Homo sapiens GN=C6 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.037453795030221206,0.1366009736079465,-0.037453795030221206,0.1740547686381677,0.19318294950972717,0.7071067811865476,0.1366009736079465,,0.12049014604119199
ALAD,Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.08141279122690828,0.1788306330615315,-0.08141279122690828,0.2602434242884398,0.2529047066433842,0.7071067811865476,0.1788306330615315,,0.12682459495922974
LCP1,Plastin-2 OS=Homo sapiens GN=LCP1 PE=1 SV=6,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.5997862646948632,0.5997862646948632,-0.5997862646948632,0.7519855849634731,0.2152423429078345,2.786562609345356,0.5997862646948632,,0.2899679397042295
AKR1A1,Alcohol dehydrogenase [NADP(+)] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.009121039332521452,0.08455747865181405,-0.009121039332521452,0.0936785179843355,0.11958233310946889,0.7071067811865475,0.08455747865181405,,0.11268362179777211
PLA2G2A,"Phospholipase A2, membrane associated OS=Homo sapiens GN=PLA2G2A PE=1 SV=2",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.25536937458362663,0.25536937458362663,-0.25536937458362663,0.3746819781006585,0.1687335020558303,1.5134479606730997,0.25536937458362663,,0.238305406187544
PKM,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.23337276784796235,0.23337276784796235,0.23337276784796235,0.4117225822794539,0.2522247264157401,0.9252572940184135,0.23337276784796235,,0.23500591517719435
MYL6B,Myosin light chain 6B OS=Homo sapiens GN=MYL6B PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.16756150791515512,0.1843260099541288,0.16756150791515512,0.3518875178692839,0.26067634317524707,0.7071067811865475,0.1843260099541288,,0.12764890149311933
SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.1597836383197901,0.1788657247948115,-0.1597836383197901,0.3386493631146016,0.252954333848516,0.7071067811865475,0.1788657247948115,,0.12682985871922173
COX6B1,Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.013700200684418448,0.14311787100723827,-0.013700200684418448,0.1568180716916567,0.20239923419639955,0.7071067811865475,0.14311787100723827,,0.12146768065108575
HNRNPL,Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.2533523663023488,0.2533523663023488,-0.2533523663023488,0.3195090118621133,0.09355962539172868,2.707924120490834,0.2533523663023488,,0.23800285494535234
DARS,"Aspartate--tRNA ligase, cytoplasmic OS=Homo sapiens GN=DARS PE=1 SV=2",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.2353032563453582,0.2353032563453582,-0.2353032563453582,0.4591958912983951,0.31663200086603327,0.7431442674832947,0.2353032563453582,,0.23529548845180373
DAO,D-amino-acid oxidase OS=Homo sapiens GN=DAO PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.3622845730094834,0.3622845730094834,0.3622845730094834,0.4418951015257947,0.11258628913545744,3.2178391862050195,0.3622845730094834,,0.2543426859514225
JUP,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.1872656117897822,0.36520414510203014,0.1872656117897822,0.5524697568918123,0.5164766550381628,0.7071067811865476,0.36520414510203014,,0.15478062176530452
UQCRB,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens GN=UQCRB PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.20882270425742555,0.20882270425742555,-0.20882270425742555,0.3770739603442887,0.2379432082443506,0.8776157377981539,0.20882270425742555,,0.23132340563861384
CPA3,Mast cell carboxypeptidase A OS=Homo sapiens GN=CPA3 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.18697137078810325,0.21142985337380957,0.18697137078810325,0.3984012241619128,0.2990069661317964,0.7071067811865475,0.21142985337380957,,0.13171447800607144
FABP4,"Fatty acid-binding protein, adipocyte OS=Homo sapiens GN=FABP4 PE=1 SV=3",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.1128075999396185,0.1128075999396185,0.1128075999396185,0.1535536437938729,0.05762360783173547,1.957662912551809,0.1128075999396185,,0.21692113999094279
AKR1B1,Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.3582734900302692,0.3582734900302692,-0.3582734900302692,0.5548294968188303,0.27797217056628126,1.2888825859811763,0.3582734900302692,,0.2537410235045404
ANPEP,Aminopeptidase N OS=Homo sapiens GN=ANPEP PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.1860777033246323,0.1860777033246323,-0.1860777033246323,0.2981502661436699,0.15849453830859364,1.1740322746158824,0.1860777033246323,,0.22791165549869485
PGAM2,Phosphoglycerate mutase 2 OS=Homo sapiens GN=PGAM2 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.052344905990467996,0.1787630340008523,-0.052344905990467996,0.2311079399913203,0.252809107134968,0.7071067811865477,0.1787630340008523,,0.12681445510012784
H2AFX,Histone H2AX OS=Homo sapiens GN=H2AFX PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.27438347870303564,0.27438347870303564,-0.27438347870303564,0.5028951802996108,0.3231643475588302,0.849052442745361,0.27438347870303564,,0.24115752180545535
CBR1,Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.053188493070739154,0.053188493070739154,-0.053188493070739154,0.0723304906781257,0.027070872627279398,1.964786795130533,0.053188493070739154,,0.2079782739606109
ACADS,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADS PE=1 SV=1",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.34574877146709787,0.34574877146709787,0.34574877146709787,0.360926477878295,0.021464518252432077,16.107921333287887,0.34574877146709787,,0.2518623157200647
HIST1H1B,Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.35800111567541787,0.3896674012109747,-0.35800111567541787,0.7476685168863926,0.5510729236072386,0.7071067811865476,0.3896674012109747,,0.1584501101816462
HIST1H1D,Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.10013047874096326,0.10013047874096326,-0.10013047874096326,0.1880528743337193,0.12434104428360805,0.8052890283965832,0.10013047874096326,,0.2150195718111445
DPEP1,Dipeptidase 1 OS=Homo sapiens GN=DPEP1 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.402126135494341,0.402126135494341,0.402126135494341,0.5557256606056344,0.21722253158645793,1.8512174246265451,0.402126135494341,,0.26031892032415116
MGMT,Methylated-DNA--protein-cysteine methyltransferase OS=Homo sapiens GN=MGMT PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.16211740226723864,0.16211740226723864,-0.16211740226723864,0.2294653307901749,0.09524435391487024,1.7021208670504477,0.16211740226723864,,0.2243176103400858
ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.17638723570578324,0.25932161607651927,0.17638723570578324,0.4357088517823025,0.3667361464719224,0.7071067811865476,0.25932161607651927,,0.13889824241147788
UGT2B7,UDP-glucuronosyltransferase 2B7 OS=Homo sapiens GN=UGT2B7 PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.4224515304777032,0.4224515304777032,-0.4224515304777032,0.7476208861878926,0.45985891291347103,0.9186546538833605,0.4224515304777032,,0.2633677295716555
ZFX,Zinc finger X-chromosomal protein OS=Homo sapiens GN=ZFX PE=2 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.2678658789966028,0.5277342829215688,0.2678658789966028,0.7956001619181716,0.7463289802369226,0.7071067811865475,0.5277342829215688,,0.1791601424382353
HSPA6,Heat shock 70 kDa protein 6 OS=Homo sapiens GN=HSPA6 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.27949079360049345,0.27949079360049345,0.27949079360049345,0.40031472903243,0.1708708481471358,1.6356844753285575,0.27949079360049345,,0.24192361904007403
HMGA1,High mobility group protein HMG-I/HMG-Y OS=Homo sapiens GN=HMGA1 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.11355943179343755,0.11355943179343755,-0.11355943179343755,0.2215575895145166,0.1527324593604586,0.7435186486811547,0.11355943179343755,,0.21703391476901565
PRKCA,Protein kinase C alpha type OS=Homo sapiens GN=PRKCA PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.10581654926764139,0.10581654926764139,-0.10581654926764139,0.1894687707220926,0.11830210610352247,0.8944604010265433,0.10581654926764139,,0.21587248239014623
NDUFB7,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 OS=Homo sapiens GN=NDUFB7 PE=1 SV=4,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.12509314474057298,0.12509314474057298,0.12509314474057298,0.1557650102645789,0.043376568207332905,2.883887543676766,0.12509314474057298,,0.21876397171108597
CAPN2,Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,-0.023277363703840204,0.2978935888616397,-0.023277363703840204,0.3211709525654799,0.42128515351212564,0.7071067811865475,0.2978935888616397,,0.14468403832924595
DES,Desmin OS=Homo sapiens GN=DES PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.13560058048658816,0.28944726038770474,0.13560058048658816,0.4250478408742929,0.4093402412320288,0.7071067811865475,0.28944726038770474,,0.1434170890581557
CEBPB,CCAAT/enhancer-binding protein beta OS=Homo sapiens GN=CEBPB PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.20734791522787677,0.20734791522787677,0.20734791522787677,0.2121605634686431,0.006806112413022775,30.464956005007863,0.20734791522787677,,0.23110218728418153
DDX5,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",0.5,DOWN,0.06836870011807086,0.34363126512995157,0.06836870011807086,0.4119999652480224,0.48596799560220233,0.7071067811865475,0.34363126512995157,,0.15154468976949273
PFKL,"ATP-dependent 6-phosphofructokinase, liver type OS=Homo sapiens GN=PFKL PE=1 SV=6",Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.48874211935522655,0.48874211935522655,0.48874211935522655,0.9292182460123812,0.6229273122201173,0.78458932489787,0.48874211935522655,,0.273311317903284
FLT1,Vascular endothelial growth factor receptor 1 OS=Homo sapiens GN=FLT1 PE=1 SV=2,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,DOWN,-0.1827474940309463,0.1827474940309463,-0.1827474940309463,0.1947055458087589,0.016911239003742286,10.806274690488742,0.1827474940309463,,0.22741212410464196
PSMC3,26S protease regulatory subunit 6A OS=Homo sapiens GN=PSMC3 PE=1 SV=3,Unknown,Unknown,0,Mass spectrometry,Blood,2,"Glomerular, Tubulointerstitial",1.0,UP,0.29286344878989146,0.29286344878989146,0.29286344878989146,0.3201171721781071,0.038542585240779366,7.598438116186144,0.29286344878989146,,0.24392951731848372
