Protein_ID,Protein_Name,Gene_Symbol
P0DP28,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP35,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP24,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP34,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP23,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP33,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP31,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP30,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P0DP25,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
P62156,Calmodulin OS=Homo sapiens GN=CALM1 PE=1 SV=2,CALM1
Q08380,Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1,LGALS3BP
Q8N6N3,UPF0690 protein C1orf52 OS=Homo sapiens GN=C1orf52 PE=1 SV=1,C1orf52
Q9UQE7,Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2,SMC3
P27482,Calmodulin-like protein 3 OS=Homo sapiens GN=CALML3 PE=1 SV=2,CALML3
P46778,60S ribosomal protein L21 OS=Homo sapiens GN=RPL21 PE=1 SV=2,RPL21
Q9Y2A7,Nck-associated protein 1 OS=Homo sapiens GN=NCKAP1 PE=1 SV=1,NCKAP1
Q9H269,Vacuolar protein sorting-associated protein 16 homolog OS=Homo sapiens GN=VPS16 PE=1 SV=2,VPS16
O43290,U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1,SART1
Q12797,Aspartyl/asparaginyl beta-hydroxylase OS=Homo sapiens GN=ASPH PE=1 SV=3,ASPH
Q5SSJ5,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens GN=HP1BP3 PE=1 SV=1,HP1BP3
P68871,Hemoglobin subunit beta OS=Homo sapiens GN=HBB PE=1 SV=2,HBB
P35251,Replication factor C subunit 1 OS=Homo sapiens GN=RFC1 PE=1 SV=4,RFC1
A0A087WUK2,Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens GN=HNRNPDL PE=1 SV=1,HNRNPDL
P05156,Complement factor I OS=Homo sapiens GN=CFI PE=1 SV=2,CFI
O95954,Formimidoyltransferase-cyclodeaminase OS=Homo sapiens GN=FTCD PE=1 SV=2,FTCD
O43707,Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2,ACTN4
H0YL18,Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1,B2M
C9JYN0,Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1 PE=1 SV=1,SYPL1
Q9HDC9,Adipocyte plasma membrane-associated protein OS=Homo sapiens GN=APMAP PE=1 SV=2,APMAP
Q10713,Mitochondrial-processing peptidase subunit alpha OS=Homo sapiens GN=PMPCA PE=1 SV=2,PMPCA
O75449,Katanin p60 ATPase-containing subunit A1 OS=Homo sapiens GN=KATNA1 PE=1 SV=1,KATNA1
Q9UHF3,Putative N-acetyltransferase 8B OS=Homo sapiens GN=NAT8B PE=5 SV=1,NAT8B
P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens GN=COX4I1 PE=1 SV=1",COX4I1
Q9Y2Z4,"Tyrosine--tRNA ligase, mitochondrial OS=Homo sapiens GN=YARS2 PE=1 SV=2",YARS2
Q01081,Splicing factor U2AF 35 kDa subunit OS=Homo sapiens GN=U2AF1 PE=1 SV=3,U2AF1
H7C5U8,"39S ribosomal protein L27, mitochondrial (Fragment) OS=Homo sapiens GN=MRPL27 PE=1 SV=1",MRPL27
H7C0R7,NADH-cytochrome b5 reductase 1 (Fragment) OS=Homo sapiens GN=CYB5R1 PE=1 SV=1,CYB5R1
O96008,Mitochondrial import receptor subunit TOM40 homolog OS=Homo sapiens GN=TOMM40 PE=1 SV=1,TOMM40
H0YC04,"V-type proton ATPase subunit B, brain isoform (Fragment) OS=Homo sapiens GN=ATP6V1B2 PE=1 SV=1",ATP6V1B2
Q8IWB6,Inactive serine/threonine-protein kinase TEX14 OS=Homo sapiens GN=TEX14 PE=1 SV=2,TEX14
Q9HC78,Zinc finger and BTB domain-containing protein 20 OS=Homo sapiens GN=ZBTB20 PE=1 SV=3,ZBTB20
J3QS36,L-xylulose reductase (Fragment) OS=Homo sapiens GN=DCXR PE=1 SV=1,DCXR
P19013,"Keratin, type II cytoskeletal 4 OS=Homo sapiens GN=KRT4 PE=1 SV=4",KRT4
P35270,Sepiapterin reductase OS=Homo sapiens GN=SPR PE=1 SV=1,SPR
Q15181,Inorganic pyrophosphatase OS=Homo sapiens GN=PPA1 PE=1 SV=2,PPA1
V9GY69,"Protein phosphatase 1K, mitochondrial OS=Homo sapiens GN=PPM1K PE=1 SV=1",PPM1K
A0A0C4DGH2,Ras-related protein R-Ras2 OS=Homo sapiens GN=RRAS2 PE=1 SV=1,RRAS2
O60500,Nephrin OS=Homo sapiens GN=NPHS1 PE=1 SV=1,NPHS1
G3XAG1,Zinc finger protein 512 OS=Homo sapiens GN=ZNF512 PE=1 SV=1,ZNF512
V9GZ50,"A kinase (PRKA) anchor protein 8-like, isoform CRA_c OS=Homo sapiens GN=AKAP8L PE=1 SV=1",AKAP8L
Q14669,E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens GN=TRIP12 PE=1 SV=1,TRIP12
P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens GN=RPN2 PE=1 SV=3,RPN2
H0YH80,Heterogeneous nuclear ribonucleoprotein A1 (Fragment) OS=Homo sapiens GN=HNRNPA1 PE=1 SV=1,HNRNPA1
Q99567,Nuclear pore complex protein Nup88 OS=Homo sapiens GN=NUP88 PE=1 SV=2,NUP88
P00338,L-lactate dehydrogenase A chain OS=Homo sapiens GN=LDHA PE=1 SV=2,LDHA
P18077,60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2,RPL35A
H3BMW1,Cytosolic Fe-S cluster assembly factor NUBP2 (Fragment) OS=Homo sapiens GN=NUBP2 PE=1 SV=1,NUBP2
Q9H329,Band 4.1-like protein 4B OS=Homo sapiens GN=EPB41L4B PE=2 SV=2,EPB41L4B
P30043,Flavin reductase (NADPH) OS=Homo sapiens GN=BLVRB PE=1 SV=3,BLVRB
P18428,Lipopolysaccharide-binding protein OS=Homo sapiens GN=LBP PE=1 SV=3,LBP
P25398,40S ribosomal protein S12 OS=Homo sapiens GN=RPS12 PE=1 SV=3,RPS12
E7EMV2,Neurofilament medium polypeptide OS=Homo sapiens GN=NEFM PE=1 SV=1,NEFM
Q9UHV7,Mediator of RNA polymerase II transcription subunit 13 OS=Homo sapiens GN=MED13 PE=1 SV=3,MED13
Q9NRY4,Rho GTPase-activating protein 35 OS=Homo sapiens GN=ARHGAP35 PE=1 SV=3,ARHGAP35
B4DUR8,T-complex protein 1 subunit gamma OS=Homo sapiens GN=CCT3 PE=1 SV=1,CCT3
Q15287,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens GN=RNPS1 PE=1 SV=1,RNPS1
Q00577,Transcriptional activator protein Pur-alpha OS=Homo sapiens GN=PURA PE=1 SV=2,PURA
Q13425,Beta-2-syntrophin OS=Homo sapiens GN=SNTB2 PE=1 SV=1,SNTB2
A0A075B7A0,60S ribosomal protein L18 OS=Homo sapiens GN=RPL18 PE=1 SV=1,RPL18
A0A0G2JMC2,Prospero homeobox protein 2 (Fragment) OS=Homo sapiens GN=PROX2 PE=4 SV=1,PROX2
Q5JRX3,"Presequence protease, mitochondrial OS=Homo sapiens GN=PITRM1 PE=1 SV=3",PITRM1
Q96MM3,Zinc finger protein 42 homolog OS=Homo sapiens GN=ZFP42 PE=1 SV=2,ZFP42
Q9BYG3,MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens GN=NIFK PE=1 SV=1,NIFK
B0QYS7,Transcription factor EB OS=Homo sapiens GN=TFEB PE=1 SV=1,TFEB
P14555,"Phospholipase A2, membrane associated OS=Homo sapiens GN=PLA2G2A PE=1 SV=2",PLA2G2A
P22532,Small proline-rich protein 2D OS=Homo sapiens GN=SPRR2D PE=2 SV=2,SPRR2D
Q9Y6R1,Electrogenic sodium bicarbonate cotransporter 1 OS=Homo sapiens GN=SLC4A4 PE=1 SV=1,SLC4A4
A0A087WX99,Cadherin-4 OS=Homo sapiens GN=CDH4 PE=1 SV=1,CDH4
Q96EN8,Molybdenum cofactor sulfurase OS=Homo sapiens GN=MOCOS PE=1 SV=2,MOCOS
P62140,Serine/threonine-protein phosphatase PP1-beta catalytic subunit OS=Homo sapiens GN=PPP1CB PE=1 SV=3,PPP1CB
Q49A26,Putative oxidoreductase GLYR1 OS=Homo sapiens GN=GLYR1 PE=1 SV=3,GLYR1
Q13263,Transcription intermediary factor 1-beta OS=Homo sapiens GN=TRIM28 PE=1 SV=5,TRIM28
P04430,Ig kappa chain V-I region Roy OS=Homo sapiens PE=1 SV=1,1
P54707,Potassium-transporting ATPase alpha chain 2 OS=Homo sapiens GN=ATP12A PE=1 SV=3,ATP12A
P36406,E3 ubiquitin-protein ligase TRIM23 OS=Homo sapiens GN=TRIM23 PE=1 SV=1,TRIM23
P47914,60S ribosomal protein L29 OS=Homo sapiens GN=RPL29 PE=1 SV=2,RPL29
P51857,3-oxo-5-beta-steroid 4-dehydrogenase OS=Homo sapiens GN=AKR1D1 PE=1 SV=1,AKR1D1
P07099,Epoxide hydrolase 1 OS=Homo sapiens GN=EPHX1 PE=1 SV=1,EPHX1
A0A087WWA3,Kinesin-like protein OS=Homo sapiens GN=KIF1B PE=1 SV=1,KIF1B
Q7Z403,Transmembrane channel-like protein 6 OS=Homo sapiens GN=TMC6 PE=2 SV=2,TMC6
G5E9C8,Son of sevenless homolog 1 OS=Homo sapiens GN=SOS1 PE=1 SV=1,SOS1
P07911,Uromodulin OS=Homo sapiens GN=UMOD PE=1 SV=1,UMOD
A0A087WZ82,FXYD domain-containing ion transport regulator 6 OS=Homo sapiens GN=FXYD6 PE=4 SV=1,FXYD6
Q9NR31,GTP-binding protein SAR1a OS=Homo sapiens GN=SAR1A PE=1 SV=1,SAR1A
E9PS48,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial OS=Homo sapiens GN=NDUFS3 PE=1 SV=1",NDUFS3
Q9BYD2,"39S ribosomal protein L9, mitochondrial OS=Homo sapiens GN=MRPL9 PE=1 SV=2",MRPL9
Q9Y6C9,Mitochondrial carrier homolog 2 OS=Homo sapiens GN=MTCH2 PE=1 SV=1,MTCH2
P61158,Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3,ACTR3
P61326,Protein mago nashi homolog OS=Homo sapiens GN=MAGOH PE=1 SV=1,MAGOH
A0A087WXF0,Methyl-CpG-binding protein 2 OS=Homo sapiens GN=MECP2 PE=1 SV=1,MECP2
Q5XKE5,"Keratin, type II cytoskeletal 79 OS=Homo sapiens GN=KRT79 PE=1 SV=2",KRT79
E7EQ52,Poly [ADP-ribose] polymerase OS=Homo sapiens GN=TNKS PE=1 SV=1,TNKS
A0A0C4DH83,EH domain-containing protein 3 OS=Homo sapiens GN=EHD3 PE=1 SV=1,EHD3
J3KSI8,"28S ribosomal protein S7, mitochondrial (Fragment) OS=Homo sapiens GN=MRPS7 PE=1 SV=1",MRPS7
P84103,Serine/arginine-rich splicing factor 3 OS=Homo sapiens GN=SRSF3 PE=1 SV=1,SRSF3
H9KVD4,MDS1 and EVI1 complex locus protein EVI1 (Fragment) OS=Homo sapiens GN=MECOM PE=1 SV=1,MECOM
E7EQG2,Eukaryotic initiation factor 4A-II OS=Homo sapiens GN=EIF4A2 PE=1 SV=1,EIF4A2
F8VYC4,RANBP2-like and GRIP domain-containing protein 1 OS=Homo sapiens GN=RGPD1 PE=4 SV=1,RGPD1
Q13164,Mitogen-activated protein kinase 7 OS=Homo sapiens GN=MAPK7 PE=1 SV=2,MAPK7
O75367,Core histone macro-H2A.1 OS=Homo sapiens GN=H2AFY PE=1 SV=4,H2AFY
O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens GN=KRT86 PE=1 SV=1",KRT86
C9JRD2,DnaJ homolog subfamily B member 2 (Fragment) OS=Homo sapiens GN=DNAJB2 PE=1 SV=1,DNAJB2
A0A087WUM3,BTB/POZ domain-containing protein KCTD14 OS=Homo sapiens GN=KCTD14 PE=1 SV=1,KCTD14
Q15746,"Myosin light chain kinase, smooth muscle OS=Homo sapiens GN=MYLK PE=1 SV=4",MYLK
P78316,Nucleolar protein 14 OS=Homo sapiens GN=NOP14 PE=1 SV=3,NOP14
Q96F10,Diamine acetyltransferase 2 OS=Homo sapiens GN=SAT2 PE=1 SV=1,SAT2
A0A087WW83,Probable G-protein-coupled receptor 179 OS=Homo sapiens GN=GPR179 PE=1 SV=1,GPR179
Q9H479,Fructosamine-3-kinase OS=Homo sapiens GN=FN3K PE=1 SV=1,FN3K
P11150,Hepatic triacylglycerol lipase OS=Homo sapiens GN=LIPC PE=1 SV=3,LIPC
Q9H0T7,Ras-related protein Rab-17 OS=Homo sapiens GN=RAB17 PE=1 SV=2,RAB17
H0YF29,UPF0598 protein C8orf82 (Fragment) OS=Homo sapiens GN=C8orf82 PE=1 SV=1,C8orf82
P28838,Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3,LAP3
Q7Z4V5,Hepatoma-derived growth factor-related protein 2 OS=Homo sapiens GN=HDGFRP2 PE=1 SV=1,HDGFRP2
H0Y9Q7,Calnexin (Fragment) OS=Homo sapiens GN=CANX PE=1 SV=1,CANX
P49773,Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2,HINT1
D3YTB1,60S ribosomal protein L32 (Fragment) OS=Homo sapiens GN=RPL32 PE=1 SV=1,RPL32
O75356,Ectonucleoside triphosphate diphosphohydrolase 5 OS=Homo sapiens GN=ENTPD5 PE=1 SV=1,ENTPD5
P47895,Aldehyde dehydrogenase family 1 member A3 OS=Homo sapiens GN=ALDH1A3 PE=1 SV=2,ALDH1A3
Q9BQ69,O-acetyl-ADP-ribose deacetylase MACROD1 OS=Homo sapiens GN=MACROD1 PE=1 SV=2,MACROD1
P01834,Ig kappa chain C region OS=Homo sapiens GN=IGKC PE=1 SV=1,IGKC
O43561,Linker for activation of T-cells family member 1 OS=Homo sapiens GN=LAT PE=1 SV=1,LAT
Q8WWP7,GTPase IMAP family member 1 OS=Homo sapiens GN=GIMAP1 PE=1 SV=1,GIMAP1
Q969I3,Glycine N-acyltransferase-like protein 1 OS=Homo sapiens GN=GLYATL1 PE=1 SV=1,GLYATL1
J3KNP2,Transducin beta-like protein 3 (Fragment) OS=Homo sapiens GN=TBL3 PE=1 SV=1,TBL3
E9PBW4,Hemoglobin subunit gamma-2 OS=Homo sapiens GN=HBG2 PE=1 SV=1,HBG2
P62269,40S ribosomal protein S18 OS=Homo sapiens GN=RPS18 PE=1 SV=3,RPS18
A0A087X0T3,Myosin-7B OS=Homo sapiens GN=MYH7B PE=1 SV=1,MYH7B
H3BVE0,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,4
E7ESA6,Focal adhesion kinase 1 OS=Homo sapiens GN=PTK2 PE=1 SV=1,PTK2
Q13492,Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2,PICALM
Q96MP5,Zinc finger SWIM domain-containing protein 3 OS=Homo sapiens GN=ZSWIM3 PE=2 SV=2,ZSWIM3
P21964,Catechol O-methyltransferase OS=Homo sapiens GN=COMT PE=1 SV=2,COMT
O60783,"28S ribosomal protein S14, mitochondrial OS=Homo sapiens GN=MRPS14 PE=1 SV=1",MRPS14
P50440,"Glycine amidinotransferase, mitochondrial OS=Homo sapiens GN=GATM PE=1 SV=1",GATM
Q96GA7,Serine dehydratase-like OS=Homo sapiens GN=SDSL PE=1 SV=1,SDSL
P78386,"Keratin, type II cuticular Hb5 OS=Homo sapiens GN=KRT85 PE=1 SV=1",KRT85
Q9UL12,"Sarcosine dehydrogenase, mitochondrial OS=Homo sapiens GN=SARDH PE=1 SV=1",SARDH
A0A0A0MS41,Sideroflexin OS=Homo sapiens GN=SFXN3 PE=1 SV=1,SFXN3
Q9NTX5,Ethylmalonyl-CoA decarboxylase OS=Homo sapiens GN=ECHDC1 PE=1 SV=2,ECHDC1
Q7Z7H5,Transmembrane emp24 domain-containing protein 4 OS=Homo sapiens GN=TMED4 PE=1 SV=1,TMED4
P19525,"Interferon-induced, double-stranded RNA-activated protein kinase OS=Homo sapiens GN=EIF2AK2 PE=1 SV=2",EIF2AK2
P13807,"Glycogen [starch] synthase, muscle OS=Homo sapiens GN=GYS1 PE=1 SV=2",GYS1
A0A0A0MT16,ATP-binding cassette sub-family A member 13 OS=Homo sapiens GN=ABCA13 PE=1 SV=1,ABCA13
Q9NVR7,TBCC domain-containing protein 1 OS=Homo sapiens GN=TBCCD1 PE=2 SV=1,TBCCD1
Q8N3V7,Synaptopodin OS=Homo sapiens GN=SYNPO PE=1 SV=2,SYNPO
P51572,B-cell receptor-associated protein 31 OS=Homo sapiens GN=BCAP31 PE=1 SV=3,BCAP31
A6ZKI3,Protein FAM127A OS=Homo sapiens GN=FAM127A PE=1 SV=1,FAM127A
O95810,Serum deprivation-response protein OS=Homo sapiens GN=SDPR PE=1 SV=3,SDPR
P51398,"28S ribosomal protein S29, mitochondrial OS=Homo sapiens GN=DAP3 PE=1 SV=1",DAP3
P29374,AT-rich interactive domain-containing protein 4A OS=Homo sapiens GN=ARID4A PE=1 SV=3,ARID4A
Q8TB37,Iron-sulfur protein NUBPL OS=Homo sapiens GN=NUBPL PE=1 SV=3,NUBPL
Q01844,RNA-binding protein EWS OS=Homo sapiens GN=EWSR1 PE=1 SV=1,EWSR1
P83916,Chromobox protein homolog 1 OS=Homo sapiens GN=CBX1 PE=1 SV=1,CBX1
O14732,Inositol monophosphatase 2 OS=Homo sapiens GN=IMPA2 PE=1 SV=1,IMPA2
H0Y2S9,Myosin phosphatase Rho-interacting protein (Fragment) OS=Homo sapiens GN=MPRIP PE=1 SV=3,MPRIP
P04181,"Ornithine aminotransferase, mitochondrial OS=Homo sapiens GN=OAT PE=1 SV=1",OAT
Q13595,Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1,TRA2A
A0A0C4DFR6,Protein SEC13 homolog OS=Homo sapiens GN=SEC13 PE=1 SV=1,SEC13
O75947,"ATP synthase subunit d, mitochondrial OS=Homo sapiens GN=ATP5H PE=1 SV=3",ATP5H
O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial OS=Homo sapiens GN=CYP27B1 PE=1 SV=1",CYP27B1
Q9HCC0,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Homo sapiens GN=MCCC2 PE=1 SV=1",MCCC2
Q6UXH0,Angiopoietin-like protein 8 OS=Homo sapiens GN=C19orf80 PE=1 SV=1,C19orf80
Q16762,Thiosulfate sulfurtransferase OS=Homo sapiens GN=TST PE=1 SV=4,TST
Q5SRQ6,Casein kinase II subunit beta OS=Homo sapiens GN=CSNK2B PE=1 SV=2,CSNK2B
Q99797,Mitochondrial intermediate peptidase OS=Homo sapiens GN=MIPEP PE=1 SV=2,MIPEP
A0A0A0MTE2,LIM domain only protein 7 OS=Homo sapiens GN=LMO7 PE=1 SV=1,LMO7
Q9BPU6,Dihydropyrimidinase-related protein 5 OS=Homo sapiens GN=DPYSL5 PE=1 SV=1,DPYSL5
Q96DX5,Ankyrin repeat and SOCS box protein 9 OS=Homo sapiens GN=ASB9 PE=1 SV=1,ASB9
A0A096LP34,Probable peptidyl-tRNA hydrolase (Fragment) OS=Homo sapiens GN=PTRH1 PE=1 SV=1,PTRH1
Q96KP4,Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2,CNDP2
Q92747,Actin-related protein 2/3 complex subunit 1A OS=Homo sapiens GN=ARPC1A PE=1 SV=2,ARPC1A
E7EQT4,Apoptotic chromatin condensation inducer in the nucleus OS=Homo sapiens GN=ACIN1 PE=1 SV=2,ACIN1
Q15654,Thyroid receptor-interacting protein 6 OS=Homo sapiens GN=TRIP6 PE=1 SV=3,TRIP6
Q9P242,Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 2 OS=Homo sapiens GN=NYAP2 PE=1 SV=3,NYAP2
Q9Y3D2,"Methionine-R-sulfoxide reductase B2, mitochondrial OS=Homo sapiens GN=MSRB2 PE=1 SV=2",MSRB2
P35754,Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2,GLRX
Q15907,Ras-related protein Rab-11B OS=Homo sapiens GN=RAB11B PE=1 SV=4,RAB11B
H0YJ10,Uncharacterized protein (Fragment) OS=Homo sapiens PE=4 SV=1,4
Q5R3I4,Tetratricopeptide repeat protein 38 OS=Homo sapiens GN=TTC38 PE=1 SV=1,TTC38
P62191,26S protease regulatory subunit 4 OS=Homo sapiens GN=PSMC1 PE=1 SV=1,PSMC1
P01024,Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2,C3
Q9Y696,Chloride intracellular channel protein 4 OS=Homo sapiens GN=CLIC4 PE=1 SV=4,CLIC4
E9PDE8,Heat shock 70 kDa protein 4L OS=Homo sapiens GN=HSPA4L PE=1 SV=1,HSPA4L
Q9HCD5,Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2,NCOA5
Q9BWM5,Zinc finger protein 416 OS=Homo sapiens GN=ZNF416 PE=2 SV=1,ZNF416
G3V2J9,Tubulin polyglutamylase TTLL5 OS=Homo sapiens GN=TTLL5 PE=1 SV=1,TTLL5
P08779,"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4",KRT16
P26373,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,RPL13
Q13255,Metabotropic glutamate receptor 1 OS=Homo sapiens GN=GRM1 PE=1 SV=3,GRM1
Q9UHE5,N-acetyltransferase 8 OS=Homo sapiens GN=NAT8 PE=1 SV=2,NAT8
Q93050,V-type proton ATPase 116 kDa subunit a isoform 1 OS=Homo sapiens GN=ATP6V0A1 PE=1 SV=3,ATP6V0A1
Q5T011,Protein SZT2 OS=Homo sapiens GN=SZT2 PE=1 SV=3,SZT2
K7EIN2,Protein syndesmos (Fragment) OS=Homo sapiens GN=NUDT16L1 PE=1 SV=1,NUDT16L1
Q3SY69,Mitochondrial 10-formyltetrahydrofolate dehydrogenase OS=Homo sapiens GN=ALDH1L2 PE=1 SV=2,ALDH1L2
Q14165,Malectin OS=Homo sapiens GN=MLEC PE=1 SV=1,MLEC
F5GY37,Prohibitin-2 OS=Homo sapiens GN=PHB2 PE=1 SV=1,PHB2
Q86V21,Acetoacetyl-CoA synthetase OS=Homo sapiens GN=AACS PE=1 SV=1,AACS
O75096,Low-density lipoprotein receptor-related protein 4 OS=Homo sapiens GN=LRP4 PE=1 SV=4,LRP4
Q99569,Plakophilin-4 OS=Homo sapiens GN=PKP4 PE=1 SV=2,PKP4
E9PBY7,Zinc finger CCCH domain-containing protein 11A (Fragment) OS=Homo sapiens GN=ZC3H11A PE=1 SV=1,ZC3H11A
Q96JK2,DDB1- and CUL4-associated factor 5 OS=Homo sapiens GN=DCAF5 PE=1 SV=2,DCAF5
Q5JTZ9,"Alanine--tRNA ligase, mitochondrial OS=Homo sapiens GN=AARS2 PE=1 SV=1",AARS2
Q9Y287,Integral membrane protein 2B OS=Homo sapiens GN=ITM2B PE=1 SV=1,ITM2B
O75131,Copine-3 OS=Homo sapiens GN=CPNE3 PE=1 SV=1,CPNE3
P05093,"Steroid 17-alpha-hydroxylase/17,20 lyase OS=Homo sapiens GN=CYP17A1 PE=1 SV=1",CYP17A1
A0A075B7D9,TATA-binding protein-associated factor 2N OS=Homo sapiens GN=TAF15 PE=1 SV=1,TAF15
Q9UIS9,Methyl-CpG-binding domain protein 1 OS=Homo sapiens GN=MBD1 PE=1 SV=2,MBD1
Q92922,SWI/SNF complex subunit SMARCC1 OS=Homo sapiens GN=SMARCC1 PE=1 SV=3,SMARCC1
Q9UQ16,Dynamin-3 OS=Homo sapiens GN=DNM3 PE=1 SV=4,DNM3
P52758,Ribonuclease UK114 OS=Homo sapiens GN=HRSP12 PE=1 SV=1,HRSP12
P25325,3-mercaptopyruvate sulfurtransferase OS=Homo sapiens GN=MPST PE=1 SV=3,MPST
P54259,Atrophin-1 OS=Homo sapiens GN=ATN1 PE=1 SV=3,ATN1
P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,VIM
P17987,T-complex protein 1 subunit alpha OS=Homo sapiens GN=TCP1 PE=1 SV=1,TCP1
P23497,Nuclear autoantigen Sp-100 OS=Homo sapiens GN=SP100 PE=1 SV=3,SP100
E5RFU2,Bifunctional epoxide hydrolase 2 OS=Homo sapiens GN=EPHX2 PE=1 SV=1,EPHX2
Q96QA5,Gasdermin-A OS=Homo sapiens GN=GSDMA PE=1 SV=4,GSDMA
Q10567,AP-1 complex subunit beta-1 OS=Homo sapiens GN=AP1B1 PE=1 SV=2,AP1B1
A0A087WUB9,Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1,CTNNBL1
B5MCT4,UDP-glucuronosyltransferase OS=Homo sapiens GN=UGT1A6 PE=3 SV=1,UGT1A6
A8MUH7,Putative PDZ domain-containing protein PDZK1P1 OS=Homo sapiens GN=PDZK1P1 PE=5 SV=2,PDZK1P1
P00846,ATP synthase subunit a OS=Homo sapiens GN=MT-ATP6 PE=1 SV=1,MT-ATP6
Q9NU22,Midasin OS=Homo sapiens GN=MDN1 PE=1 SV=2,MDN1
Q9ULL5,Proline-rich protein 12 OS=Homo sapiens GN=PRR12 PE=1 SV=2,PRR12
Q92526,T-complex protein 1 subunit zeta-2 OS=Homo sapiens GN=CCT6B PE=1 SV=5,CCT6B
Q14151,Scaffold attachment factor B2 OS=Homo sapiens GN=SAFB2 PE=1 SV=1,SAFB2
P52907,F-actin-capping protein subunit alpha-1 OS=Homo sapiens GN=CAPZA1 PE=1 SV=3,CAPZA1
Q9H2U2,"Inorganic pyrophosphatase 2, mitochondrial OS=Homo sapiens GN=PPA2 PE=1 SV=2",PPA2
Q01082,"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2",SPTBN1
Q14498,RNA-binding protein 39 OS=Homo sapiens GN=RBM39 PE=1 SV=2,RBM39
H7C3T4,Peroxiredoxin-4 (Fragment) OS=Homo sapiens GN=PRDX4 PE=1 SV=1,PRDX4
P14618,Pyruvate kinase PKM OS=Homo sapiens GN=PKM PE=1 SV=4,PKM
O00159,Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4,MYO1C
Q13813,"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3",SPTAN1
Q7Z3Z0,"Keratin, type I cytoskeletal 25 OS=Homo sapiens GN=KRT25 PE=1 SV=1",KRT25
Q9BTZ2,Dehydrogenase/reductase SDR family member 4 OS=Homo sapiens GN=DHRS4 PE=1 SV=3,DHRS4
P53999,Activated RNA polymerase II transcriptional coactivator p15 OS=Homo sapiens GN=SUB1 PE=1 SV=3,SUB1
Q9NRZ7,1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Homo sapiens GN=AGPAT3 PE=1 SV=1,AGPAT3
