Gene_Symbol,ESM2_Cluster,AE_Cluster,Matrisome_Category,Matrisome_Division,Protein_ID,Protein_Name,UMAP1_AE,UMAP2_AE,UMAP1_ESM2,UMAP2_ESM2
FGFBP2,-1,-1,Secreted Factors,Matrisome-associated,Q9BYJ0,Fibroblast growth factor-binding protein 2,12.8220825,10.09597,-6.1770544,-1.8561823
FGG,-1,-1,ECM Glycoproteins,Core matrisome,P02679,Fibrinogen gamma chain,12.088052,6.6368423,-7.814611,3.0624778
FGL1,-1,-1,ECM Glycoproteins,Core matrisome,Q08830,Fibrinogen-like protein 1,16.744856,5.5445724,-0.9034031,11.683669
FGL2,-1,-1,ECM Glycoproteins,Core matrisome,Q14314,Fibroleukin,16.703373,5.4636974,-0.91836435,11.6603155
FLG,-1,-1,Secreted Factors,Matrisome-associated,CON__P20930;P20930,Filaggrin,14.686171,6.694775,1.0816344,6.2847476
FLG2,-1,-1,Secreted Factors,Matrisome-associated,CON__Q5D862;Q5D862,Filaggrin-2,15.158451,7.596552,-3.867212,-0.12757388
FMOD,-1,-1,Proteoglycans,Core matrisome,Q06828,Fibromodulin,14.05796,8.209092,-6.6929197,0.28403366
FN1,-1,-1,ECM Glycoproteins,Core matrisome,P02751,Fibronectin;Anastellin;Ugl-Y1;Ugl-Y2;Ugl-Y3,12.603144,7.8064365,-6.6657457,1.3128647
FNDC1,-1,-1,ECM Glycoproteins,Core matrisome,Q4ZHG4,Fibronectin type III domain-containing protein 1,14.785888,5.1847954,-4.166531,7.865629
FRAS1,-1,-1,ECM Glycoproteins,Core matrisome,Q80T14,Extracellular matrix protein FRAS1,14.725642,5.5374146,-4.0303426,7.2541656
FREM1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q684R7,FRAS1-related extracellular matrix protein 1,13.740241,8.335414,-6.9545,0.35941663
FREM2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q6NVD0,FRAS1-related extracellular matrix protein 2,14.7265005,5.693209,-3.9905636,7.291092
FRZB,-1,-1,Secreted Factors,Matrisome-associated,Q92765,Secreted frizzled-related protein 3,14.02483,9.665934,-5.9082065,-1.4578419
FSTL1,-1,-1,Secreted Factors,Matrisome-associated,Q12841,Follistatin-related protein 1,12.680149,10.286728,-6.6428246,-1.6165743
FSTL3,16,-1,Secreted Factors,Matrisome-associated,O95633,Follistatin-related protein 3,9.964741,11.218394,-8.746054,-2.5377762
Fam20b,12,14,ECM Regulators,Matrisome-associated,Q8VCS3,Glycosaminoglycan xylosylkinase (EC 2.7.1.-) (Xylose kinase),3.7156613,7.611539,0.71397096,5.9968314
Fbln1,-1,-1,ECM Glycoproteins,Core matrisome,Q08879,Fibulin-1 (FIBL-1) (Basement-membrane protein 90) (BM-90),2.7673576,7.373404,1.0763814,5.6577196
Fbln2,-1,-1,ECM Glycoproteins,Core matrisome,P37889,Fibulin-2 (FIBL-2),2.690233,6.9202642,0.47054437,4.5944037
Fbln5,-1,-1,ECM Glycoproteins,Core matrisome,Q9WVH9,Fibulin-5 (FIBL-5) (Developmental arteries and neural crest EGF-like protein) (Dance),2.2383516,7.7583814,1.7100573,4.6282525
Fbn1,-1,-1,ECM Glycoproteins,Core matrisome,Q61554,Fibrillin-1 [Cleaved into: Asprosin],1.7818927,8.266781,1.1627191,4.1450343
Fbn2,-1,-1,ECM Glycoproteins,Core matrisome,Q61555,Fibrillin-2 [Cleaved into: Fibrillin-2 C-terminal peptide],2.018911,7.8020525,1.4294935,4.2868185
Fcn1,11,13,ECM-affiliated Proteins,Matrisome-associated,O70165,Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin),4.526918,8.698777,-0.13435721,5.568856
Fga,-1,-1,ECM Glycoproteins,Core matrisome,E9PV24,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain],2.360973,8.717537,1.613507,3.964392
Fgb,-1,-1,ECM Glycoproteins,Core matrisome,Q8K0E8,Fibrinogen beta chain [Cleaved into: Fibrinopeptide B; Fibrinogen beta chain],1.159483,10.086282,1.6752791,2.309309
Fgf1,-1,-1,Secreted Factors,Matrisome-associated,P61148,Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Heparin-binding growth factor 1) (HBGF-1),-1.5033547,6.491437,2.190694,6.4614053
Fgf12,-1,-1,Secreted Factors,Matrisome-associated,P61329-2,,-1.7701765,6.5864906,4.1557345,6.417788
Fgf13,-1,-1,Secreted Factors,Matrisome-associated,P70377,Fibroblast growth factor 13 (FGF-13) (Fibroblast growth factor homologous factor 2) (FHF-2),-1.1973075,6.407614,4.5293646,6.415001
Fgf2,-1,-1,Secreted Factors,Matrisome-associated,P15655,,8.735124,12.121313,-0.1510167,3.4116251
Fgfbp1,-1,3,Secreted Factors,Matrisome-associated,O70514,,0.48561597,8.402643,0.09095399,2.2117302
Fgg,-1,-1,ECM Glycoproteins,Core matrisome,Q8VCM7,Fibrinogen gamma chain,1.326355,9.867207,2.4349613,2.2421398
Fgl2,-1,-1,ECM Glycoproteins,Core matrisome,P12804,Fibroleukin (Cytotoxic T-lymphocyte-specific protein) (Fibrinogen-like protein 2) (Prothrombinase),2.347937,7.270223,0.83376646,4.987907
Fmod,-1,-1,Proteoglycans,Core matrisome,P50608,,1.5724415,9.444668,1.9137743,2.9207447
Fn1,-1,-1,ECM Glycoproteins,Core matrisome,P11276,Fibronectin (FN) [Cleaved into: Anastellin],2.270631,8.0882015,1.7047733,4.5363183
Fstl1,-1,-1,Secreted Factors,Matrisome-associated,Q62356,,-1.4129858,5.684836,3.938679,5.6845527
GAS6,0,0,ECM Glycoproteins,Core matrisome,Q14393,Growth arrest-specific protein 6,16.699087,5.4124966,-0.9643023,11.563731
GDF10,-1,-1,Secreted Factors,Matrisome-associated,P55107,Growth/differentiation factor 10,8.998742,12.053986,-8.734203,-1.7974968
GDF15,-1,-1,Secreted Factors,Matrisome-associated,Q99988,Growth/differentiation factor 15 OS=Homo sapiens GN=GDF15 PE=2 SV=3,12.666393,8.031722,-6.7171254,1.1367475
GDF5,-1,-1,Secreted Factors,Matrisome-associated,P43026,Growth/differentiation factor 5,8.869208,12.291415,-8.804406,-1.9581556
GDF6,-1,-1,Secreted Factors,Matrisome-associated,Q6KF10,Growth/differentiation factor 6,11.117892,10.713972,-7.141935,-1.451518
GLDN,16,23,ECM Glycoproteins,Core matrisome,Q6ZMI3,Gliomedin,8.481574,12.780376,-8.747748,-2.5482848
GPC1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P35052,Glypican-1;Secreted glypican-1,11.294377,8.610901,-5.579485,-0.17931682
GPC4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P51655,Glypican-4;Secreted glypican-4,12.997389,7.842467,-6.4134746,1.0570272
GPC6,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9Y625,Glypican-6,14.491009,8.136492,-5.765192,0.14293513
GREM1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O60565,Gremlin-1,8.76455,11.868053,-8.789573,-1.7399309
Gas6,-1,-1,ECM Glycoproteins,Core matrisome,Q61592,Growth arrest-specific protein 6 (GAS-6) (AXL receptor tyrosine kinase ligand),6.961332,10.903983,-0.30825818,3.8420327
Gpc1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9QZF2,Glypican-1 [Cleaved into: Secreted glypican-1],-1.309573,6.399533,4.100111,5.8487525
Gpc4,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P51655,,-0.831563,4.199032,3.5464685,4.8991275
Gpc5,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q8CAL5,,-1.3006781,5.9679217,4.2880125,5.843116
Gpc6,-1,12,ECM-affiliated Proteins,Matrisome-associated,Q8R3X6,,-0.7999649,4.258215,3.565813,4.806019
Grip1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q925T6,,-1.7224722,6.504145,4.1001472,6.071553
HABP2,-1,-1,ECM Regulators,Matrisome-associated,Q14520,Hyaluronan-binding protein 2;Hyaluronan-binding protein 2 50 kDa heavy chain;Hyaluronan-binding protein 2 50 kDa heavy chain alternate form;Hyaluronan-binding protein 2 27 kDa light chain;Hyaluronan-binding protein 2 27 kDa light chain alternate form,12.539068,10.062055,-5.9970136,-2.0807805
HAPLN1,-1,10,Proteoglycans,Core matrisome,P10915,Hyaluronan and proteoglycan link protein 1,13.534686,9.659698,-6.5061874,-0.40999672
HAPLN3,2,1,Proteoglycans,Core matrisome,Q96S86,Hyaluronan and proteoglycan link protein 3,14.951241,4.43542,-4.1692924,7.903152
HCFC1,0,0,Secreted Factors,Matrisome-associated,P51610,Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6,16.650335,5.4741507,-0.91935253,11.564133
HCFC2,22,20,Secreted Factors,Matrisome-associated,G5E837,Host cell factor 2,7.0771084,10.380587,-0.30119944,3.5145216
HGF,17,18,Secreted Factors,Matrisome-associated,P14210,Hepatocyte growth factor;Hepatocyte growth factor alpha chain;Hepatocyte growth factor beta chain,5.825666,13.179125,-12.795385,2.098467
HGFAC,-1,-1,Secreted Factors,Matrisome-associated,Q04756,Hepatocyte growth factor activator;Hepatocyte growth factor activator short chain;Hepatocyte growth factor activator long chain,6.022383,12.670923,-11.6402025,2.1123362
HHIP,-1,15,Secreted Factors,Matrisome-associated,Q96QV1,Hedgehog-interacting protein,12.754755,10.324843,-6.646965,-1.5324615
HMCN1,-1,-1,ECM Glycoproteins,Core matrisome,Q96RW7,Hemicentin-1,20.054861,12.0796795,-18.057915,14.496124
HMCN2,8,9,ECM Glycoproteins,Core matrisome,Q8NDA2,Hemicentin-2 {ECO:0000305},20.120789,12.636611,-17.957676,15.08642
HPX,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P02790,Hemopexin,12.028842,6.866018,-7.447284,2.969433
HRG,-1,-1,ECM Regulators,Matrisome-associated,P04196,Histidine-rich glycoprotein,11.015748,6.664598,-8.231309,3.1199062
HRNR,-1,4,Secreted Factors,Matrisome-associated,CON__Q86YZ3;Q86YZ3,Hornerin,14.395604,6.415736,-4.322857,1.8304921
HSPG2,-1,2,Proteoglycans,Core matrisome,P98160,Basement membrane-specific heparan sulfate proteoglycan core protein;Endorepellin;LG3 peptide,14.482023,8.304845,-5.567252,-0.22643024
HTRA1,-1,-1,ECM Regulators,Matrisome-associated,Q92743,Serine protease HTRA1,12.633469,7.9051046,-6.6140885,1.2334667
HTRA3,-1,-1,ECM Regulators,Matrisome-associated,P83110,Serine protease HTRA3,7.282254,10.272664,-11.374146,2.1914954
HTRA4,-1,-1,ECM Regulators,Matrisome-associated,P83105,Serine protease HTRA4,7.992109,11.654235,-12.303381,1.7728152
HYAL1,-1,-1,ECM Regulators,Matrisome-associated,Q12794,Hyaluronidase-1,8.786821,12.162543,-8.798992,-1.7847146
HYAL2,20,19,ECM Regulators,Matrisome-associated,O35632,Hyaluronidase-2;Hyaluronidase,7.2317123,9.001115,-3.1084275,4.0181694
Habp2,11,13,ECM Regulators,Matrisome-associated,Q8K0D2,Hyaluronan-binding protein 2 (EC 3.4.21.-) (Plasma hyaluronan-binding protein) [Cleaved into: Hyaluronan-binding protein 2 50 kDa heavy chain; Hyaluronan-binding protein 2 50 kDa heavy chain alternate form; Hyaluronan-binding protein 2 27 kDa light chain; Hyaluronan-binding protein 2 27 kDa light chain alternate form],4.390315,8.518761,-0.03817492,5.575812
Hapln1,-1,-1,Proteoglycans,Core matrisome,Q9QUP5,,2.5348485,9.842457,2.0276833,2.9009907
Hapln2,-1,-1,Proteoglycans,Core matrisome,Q9ESM3,,1.2744545,9.741252,2.4825623,2.2715688
Hapln4,-1,-1,Proteoglycans,Core matrisome,Q80WM4,,2.7906735,9.501035,1.4013208,3.1212897
Hcfc1,-1,-1,Secreted Factors,Matrisome-associated,Q61191,Host cell factor 1 (HCF) (HCF-1) (C1 factor) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6],0.49217212,6.3849998,0.4750301,4.7172565
Hgfac,11,13,Secreted Factors,Matrisome-associated,Q9R098,Hepatocyte growth factor activator (HGF activator) (HGFA) (EC 3.4.21.-) [Cleaved into: Hepatocyte growth factor activator short chain; Hepatocyte growth factor activator long chain],4.3792834,8.535936,-0.09490829,5.5682316
Hmcn1,-1,-1,ECM Glycoproteins,Core matrisome,D3YXG0,Hemicentin-1 (Fibulin-6) (FIBL-6),2.372366,6.9639187,0.28129578,4.520048
Hmcn2,-1,-1,ECM Glycoproteins,Core matrisome,A2AJ76,Hemicentin-2,-1.0938848,6.6980395,0.55054116,2.8136475
Hpx,-1,3,ECM-affiliated Proteins,Matrisome-associated,Q91X72,Hemopexin,0.47798055,8.749459,0.1865509,2.1268833
Hrg,-1,-1,ECM Regulators,Matrisome-associated,Q9ESB3,Histidine-rich glycoprotein (Histidine-proline-rich glycoprotein) (HPRG),0.6627128,9.899362,1.1528159,1.2551007
Hspg2,-1,-1,Proteoglycans,Core matrisome,E9PZ16,Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) [Cleaved into: Endorepellin; LG3 peptide],2.696387,9.849096,1.8872527,2.9839761
Htra1,-1,-1,ECM Regulators,Matrisome-associated,Q9R118,Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (Serine protease 11),1.2821054,9.864066,2.522774,2.2295454
IBSP,18,22,ECM Glycoproteins,Core matrisome,P21815,Bone sialoprotein 2,8.463999,12.32827,-9.613102,-1.3421913
IGF2,-1,-1,Secreted Factors,Matrisome-associated,P01344,Insulin-like growth factor II;Insulin-like growth factor II;Insulin-like growth factor II Ala-25 Del;Preptin,11.148707,10.743017,-6.8899546,-1.9098313
IGFALS,-1,-1,ECM Glycoproteins,Core matrisome,P35858,Insulin-like growth factor-binding protein complex acid labile subunit,14.461495,4.84224,-4.2641873,7.744934
IGFBP2,-1,-1,ECM Glycoproteins,Core matrisome,P18065,Insulin-like growth factor-binding protein 2,10.808553,10.895064,-7.2220335,-1.9909803
IGFBP3,-1,-1,ECM Glycoproteins,Core matrisome,P17936,Insulin-like growth factor-binding protein 3,9.829269,11.044916,-0.69535863,2.762554
IGFBP4,16,23,ECM Glycoproteins,Core matrisome,P22692,Insulin-like growth factor-binding protein 4,8.479318,12.767849,-8.752486,-2.5177507
IGFBP5,-1,-1,ECM Glycoproteins,Core matrisome,P24593,Insulin-like growth factor-binding protein 5,12.869619,10.183848,-6.320974,-1.5515985
IGFBP6,-1,-1,ECM Glycoproteins,Core matrisome,P24592,Insulin-like growth factor-binding protein 6,12.1508255,10.149255,-6.8125668,-1.9881992
IGFBP7,-1,-1,ECM Glycoproteins,Core matrisome,Q16270,Insulin-like growth factor-binding protein 7,13.183383,8.2807665,-6.619656,0.6769886
IHH,17,18,Secreted Factors,Matrisome-associated,Q14623,Indian hedgehog protein;Indian hedgehog protein N-product;Indian hedgehog protein C-product,5.8068542,13.207797,-12.825314,2.1122735
IL11,-1,-1,Secreted Factors,Matrisome-associated,P20809,Interleukin-11,10.615086,10.967634,-8.326045,-2.2199445
IL16,21,21,Secreted Factors,Matrisome-associated,O54824,Pro-interleukin-16;Interleukin-16,7.421818,11.217651,-0.69453585,3.4240878
IL17B,-1,-1,Secreted Factors,Matrisome-associated,Q9UHF5,Interleukin-17B,14.370726,9.479901,-5.750909,-1.5906775
IL17D,16,23,Secreted Factors,Matrisome-associated,Q8TAD2,Interleukin-17D,8.485377,12.787502,-8.693293,-2.4872267
INHA,-1,-1,Secreted Factors,Matrisome-associated,Q04997,Inhibin alpha chain,15.181226,7.654487,-3.871412,-0.06391567
INHBA,-1,-1,Secreted Factors,Matrisome-associated,P08476,Inhibin beta A chain,8.857409,12.1762705,-8.782884,-1.7194988
INHBC,0,0,Secreted Factors,Matrisome-associated,P55103,Inhibin beta C chain,16.504436,5.570384,-0.8599761,11.660785
INHBE,-1,-1,Secreted Factors,Matrisome-associated,O08717,Inhibin beta E chain,13.983875,7.1068296,-5.4050207,1.8784077
ISM1,17,18,Secreted Factors,Matrisome-associated,B1AKI9,Isthmin-1,5.8189607,13.151028,-12.8703165,2.1666377
ISM2,-1,-1,Secreted Factors,Matrisome-associated,Q6H9L7,Isthmin-2,6.792995,12.769231,-12.15315,1.3867029
ITIH1,-1,-1,ECM Regulators,Matrisome-associated,P19827,Inter-alpha-trypsin inhibitor heavy chain H1,12.68179,6.249422,-8.030872,2.8042789
ITIH2,-1,-1,ECM Regulators,Matrisome-associated,P19823,Inter-alpha-trypsin inhibitor heavy chain H2,12.524852,6.2059245,-8.093254,3.013263
ITIH3,-1,-1,ECM Regulators,Matrisome-associated,Q06033,Inter-alpha-trypsin inhibitor heavy chain H3,12.015479,6.4439073,-8.002112,2.9790173
ITIH4,-1,-1,ECM Regulators,Matrisome-associated,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4;70 kDa inter-alpha-trypsin inhibitor heavy chain H4;35 kDa inter-alpha-trypsin inhibitor heavy chain H4,12.444712,6.310268,-7.859867,3.0844076
ITIH5,-1,-1,ECM Regulators,Matrisome-associated,Q86UX2,Inter-alpha-trypsin inhibitor heavy chain H5,14.720997,5.5819335,-4.0314713,7.383417
ITIH6,-1,-1,ECM Regulators,Matrisome-associated,Q6UXX5,Inter-alpha-trypsin inhibitor heavy chain H6,8.873852,12.325814,-8.819211,-1.7709188
Igfals,11,13,ECM Glycoproteins,Core matrisome,P70389,Insulin-like growth factor-binding protein complex acid labile subunit (ALS),4.3956065,8.553838,-0.0018987352,5.610234
Igfbp4,-1,-1,ECM Glycoproteins,Core matrisome,P47879,,3.7920384,9.4542,0.35463387,3.36799
Igfbp5,-1,3,ECM Glycoproteins,Core matrisome,Q07079,,0.49113467,8.561548,0.12563574,2.1615438
Igfbp6,-1,-1,ECM Glycoproteins,Core matrisome,P47880,,-0.93090266,6.3680634,4.601726,6.3408613
Igfbp7,7,8,ECM Glycoproteins,Core matrisome,E9Q5D9,Insulin-like growth factor-binding protein 7 (IBP-7) (IGF-binding protein 7) (IGFBP-7) (MAC25 protein),-0.39935124,6.072829,2.2516835,6.382579
Il16,-1,-1,Secreted Factors,Matrisome-associated,O54824,Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)],0.042848054,6.4515834,4.513275,6.454638
Itih1,-1,-1,ECM Regulators,Matrisome-associated,Q61702,Inter-alpha-trypsin inhibitor heavy chain H1 (ITI heavy chain H1) (ITI-HC1) (Inter-alpha-inhibitor heavy chain 1),0.7445959,8.780514,0.3121167,1.9643581
Itih2,-1,-1,ECM Regulators,Matrisome-associated,Q61703,Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2),1.3049309,9.732283,2.4506748,2.3210843
Itih3,-1,-1,ECM Regulators,Matrisome-associated,Q61704,Inter-alpha-trypsin inhibitor heavy chain H3 (ITI heavy chain H3) (ITI-HC3) (Inter-alpha-inhibitor heavy chain 3),0.73697424,9.265608,0.4591862,1.8627608
Itih4,-1,3,ECM Regulators,Matrisome-associated,A6X935,"Inter alpha-trypsin inhibitor, heavy chain 4 (ITI heavy chain H4) (ITI-HC4) (Inter-alpha-inhibitor heavy chain 4)",0.7386719,8.595507,-0.004078784,2.2100315
Itih5,-1,-1,ECM Regulators,Matrisome-associated,Q8BJD1,Inter-alpha-trypsin inhibitor heavy chain H5 (ITI heavy chain H5) (ITI-HC5) (Inter-alpha-inhibitor heavy chain 5),2.0964441,9.012194,1.226365,3.088203
KAL1,-1,-1,ECM Glycoproteins,Core matrisome,P23352,Anosmin-1,13.188806,10.124547,-6.486886,-1.2145681
KCP,-1,-1,ECM Glycoproteins,Core matrisome,A0A087WVT8,Kielin/chordin-like protein OS=Homo sapiens GN=KCP PE=1 SV=1,13.001185,7.8189187,-6.2346435,1.2462027
KERA,-1,-1,Proteoglycans,Core matrisome,O60938,Keratocan,12.571422,10.095762,-6.1893425,-1.986303
KNG1,-1,-1,ECM Regulators,Matrisome-associated,P01042,Kininogen-1;Kininogen-1 heavy chain;T-kinin;Bradykinin;Lysyl-bradykinin;Kininogen-1 light chain;Low molecular weight growth-promoting factor,12.016416,6.7696743,-7.649512,2.9959002
KNG2,19,16,ECM Regulators,Matrisome-associated,Q6S9I0,,9.796513,6.615104,-4.619143,4.139466
Kcp,-1,-1,ECM Glycoproteins,Core matrisome,Q3U492,Kielin/chordin-like protein (Cysteine-rich BMP regulator 2) (Cysteine-rich motor neuron 2 protein) (CRIM-2) (Kielin/chordin-like protein 1) (KCP-1),7.0125027,10.749669,-0.42742708,3.6470025
Kera,-1,-1,Proteoglycans,Core matrisome,O35367,,2.3369787,8.059164,1.726272,4.645048
Kng1,-1,-1,ECM Regulators,Matrisome-associated,O08677,Kininogen-1 [Cleaved into: Kininogen-1 heavy chain; Bradykinin; Kininogen-1 light chain],1.4376649,9.786182,2.289877,2.3473327
LAMA1,-1,-1,ECM Glycoproteins,Core matrisome,P19137,Laminin subunit alpha-1,13.057958,7.6845202,-5.582146,1.6954182
LAMA2,-1,-1,ECM Glycoproteins,Core matrisome,P24043,Laminin subunit alpha-2,12.6695795,6.239178,-8.649555,2.6623132
LAMA3,8,-1,ECM Glycoproteins,Core matrisome,Q3UU65,Laminin subunit alpha-3,20.060638,12.224832,-17.901358,14.779421
LAMA4,-1,-1,ECM Glycoproteins,Core matrisome,Q16363,Laminin subunit alpha-4,13.257256,9.56432,-4.7893734,-0.47839022
LAMA5,-1,-1,ECM Glycoproteins,Core matrisome,O15230,Laminin subunit alpha-5,13.968994,9.346272,-5.5004735,-0.8924709
LAMB1,-1,-1,ECM Glycoproteins,Core matrisome,P07942,Laminin subunit beta-1,14.557781,8.098761,-5.780472,0.14926687
LAMB2,-1,-1,ECM Glycoproteins,Core matrisome,P55268,Laminin subunit beta-2,14.582499,8.8587,-5.3571615,-1.3520991
LAMB3,8,9,ECM Glycoproteins,Core matrisome,Q61087,Laminin subunit beta-3,20.095093,12.200969,-18.117859,14.500346
LAMB4,-1,-1,ECM Glycoproteins,Core matrisome,A4D0S4,Laminin subunit beta-4,13.358361,7.5645404,-5.714487,1.7121338
LAMC1,-1,-1,ECM Glycoproteins,Core matrisome,P11047,Laminin subunit gamma-1,14.5302305,8.119434,-5.2746606,-1.3332253
LAMC2,8,9,ECM Glycoproteins,Core matrisome,G5E874,Laminin subunit gamma-2,20.075808,12.141213,-18.030258,14.469464
LAMC3,-1,-1,ECM Glycoproteins,Core matrisome,A2ATM9,Laminin subunit gamma-3 (Fragment);Laminin subunit gamma-3,14.741571,5.355161,-4.022864,7.5444064
LEFTY2;LEFTY1,-1,-1,Secreted Factors,Matrisome-associated,O00292;O75610,Left-right determination factor 2;Left-right determination factor 1,8.781962,12.205529,-8.934141,-1.6358186
LEP,18,22,Secreted Factors,Matrisome-associated,P41159,Leptin,8.48113,12.340251,-9.633691,-1.3348596
LEPRE1,6,10,ECM Regulators,Matrisome-associated,Q32P28,Prolyl 3-hydroxylase 1,13.51063,9.601178,-6.285041,-0.8498213
LEPREL2,0,0,ECM Regulators,Matrisome-associated,Q8IVL6,Prolyl 3-hydroxylase 3,16.602337,5.4273562,-0.90962285,11.709604
LGALS1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P09382,Galectin-1,12.899429,7.0093565,-6.233428,2.573016
LGALS2,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P05162,Galectin-2 OS=Homo sapiens GN=LGALS2 PE=1 SV=3,14.597861,6.6104946,-4.456384,1.7168024
LGALS3,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P17931,Galectin-3,12.679971,8.278998,-6.327979,1.3122042
LGALS7,8,9,ECM-affiliated Proteins,Matrisome-associated,P47929,Galectin-7,19.989798,12.056666,-18.057291,14.430602
LGALS8,-1,-1,ECM-affiliated Proteins,Matrisome-associated,Q9JL15,Galectin-8;Galectin,3.6637454,7.5780354,0.9813112,6.148578
LGALS9,-1,-1,ECM-affiliated Proteins,Matrisome-associated,O08573,Galectin-9;Galectin,10.116938,11.076989,-0.9799366,3.4129357
LGALSL,20,19,ECM-affiliated Proteins,Matrisome-associated,Q8VED9,Galectin-related protein,7.3096256,8.850528,-3.3055692,4.0289884
LGI4,17,18,ECM Glycoproteins,Core matrisome,Q8N135,Leucine-rich repeat LGI family member 4,5.8432226,13.190054,-12.81419,2.1022806
LMAN1,-1,-1,ECM-affiliated Proteins,Matrisome-associated,P49257,Protein ERGIC-53,12.131251,6.198155,-8.234597,2.9075108
LOX,-1,-1,ECM Regulators,Matrisome-associated,P28300,Protein-lysine 6-oxidase,13.639457,9.598001,-6.6349144,-0.13726844
LOXL1,-1,-1,ECM Regulators,Matrisome-associated,P97873,Lysyl oxidase homolog 1,9.211072,10.290941,-6.2428517,2.6157637
LOXL2,-1,-1,ECM Regulators,Matrisome-associated,Q9Y4K0,Lysyl oxidase homolog 2,11.194981,8.733972,-6.1224895,-0.6857734
LOXL3,-1,-1,ECM Regulators,Matrisome-associated,P58215,Lysyl oxidase homolog 3,12.638417,10.069162,-6.2509627,-1.9406948
LOXL4,-1,-1,ECM Regulators,Matrisome-associated,Q96JB6,Lysyl oxidase homolog 4,11.028451,10.779488,-6.99149,-1.8549949
LPA,-1,-1,ECM Regulators,Matrisome-associated,P08519,Apolipoprotein(a),16.51976,5.366057,-0.82406646,11.726408
LRG1,-1,-1,ECM Glycoproteins,Core matrisome,P02750,Leucine-rich alpha-2-glycoprotein,12.025214,6.7528625,-7.6878576,3.022754
LTBP1,-1,-1,ECM Glycoproteins,Core matrisome,Q14766,Latent-transforming growth factor beta-binding protein 1,12.140516,6.20874,-8.087898,2.9137866
LTBP2,-1,-1,ECM Glycoproteins,Core matrisome,Q14767,Latent-transforming growth factor beta-binding protein 2,13.705539,8.50059,-7.0637712,0.3607855
LTBP3,-1,-1,ECM Glycoproteins,Core matrisome,Q9NS15,Latent-transforming growth factor beta-binding protein 3,11.021874,9.187737,-6.9703736,-1.1491153
LTBP4,-1,-1,ECM Glycoproteins,Core matrisome,Q8N2S1,Latent-transforming growth factor beta-binding protein 4,13.08797,8.259033,-6.798412,0.7598836
LUM,-1,-1,Proteoglycans,Core matrisome,P51884,Lumican,12.21136,7.9546237,-6.2258124,1.0329524
Lama1,-1,-1,ECM Glycoproteins,Core matrisome,P19137,,2.5949156,9.748918,1.8756702,2.9026628
Lama2,-1,-1,ECM Glycoproteins,Core matrisome,Q60675,Laminin subunit alpha-2 (Laminin M chain) (Laminin-12 subunit alpha) (Laminin-2 subunit alpha) (Laminin-4 subunit alpha) (Merosin heavy chain),1.5266554,9.66785,1.7094303,2.1351078
Lama3,-1,-1,ECM Glycoproteins,Core matrisome,Q61789,Laminin subunit alpha-3 (Epiligrin subunit alpha) (Kalinin subunit alpha) (Laminin-5 subunit alpha) (Laminin-6 subunit alpha) (Laminin-7 subunit alpha) (Nicein subunit alpha),6.8663626,11.09843,0.09086802,4.2730746
Lama4,-1,-1,ECM Glycoproteins,Core matrisome,P97927,Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha),2.6359031,8.30064,1.3603919,4.5950637
