Gene_Symbol,Protein_Name,Matrisome_Category,Matrisome_Division,N_Tissues,N_Measurements,Direction_Consistency,Predominant_Direction,N_Upregulated,N_Downregulated,Mean_Zscore_Delta,Abs_Mean_Zscore_Delta,Median_Zscore_Delta,Std_Zscore_Delta,N_Strong_Effects,Strong_Effect_Rate,T_Statistic,P_Value,Universality_Score,Balance_Difference
CA3,Carbonic anhydrase 3 OS=Homo sapiens GN=CA3 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1938317906060837,0.4244465864663819,0.1938317906060837,0.6002581190837218,1,0.5,,,0.227738776293697,0
PFN1,Profilin-1 OS=Homo sapiens GN=PFN1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0171276290498268,0.0732874494244391,-0.0171276290498268,0.1036441049277741,0,0.0,,,0.1926228625895027,0
EPRS,Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens GN=EPRS PE=1 SV=5,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2180663939604909,0.2313485092313234,-0.2180663939604909,0.3271761993897348,0,0.0,,,0.2084289685701911,0
FH,"Fumarate hydratase, mitochondrial OS=Homo sapiens GN=FH PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0012127384250372,0.0889201228009901,-0.0012127384250372,0.1257520436330413,0,0.0,,,0.1941861299271578,0
PFKM,"ATP-dependent 6-phosphofructokinase, muscle type OS=Homo sapiens GN=PFKM PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0375508257578169,0.3557265120889596,0.0375508257578169,0.5030732578918835,0,0.0,,,0.2208667688559548,0
HSP90AB1,Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0497248235597306,0.2581138777778808,0.0497248235597306,0.3650281465901905,0,0.0,,,0.2111055054248469,0
MME,Neprilysin OS=Homo sapiens GN=MME PE=1 SV=2,ECM Regulators,Matrisome-associated,2,2,0.5,DOWN,1,1,0.0756803445838968,0.085407599967983,0.0756803445838968,0.1207845862044574,0,0.0,,,0.1938348776438571,0
PDHA1,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens GN=PDHA1 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2090590541481102,0.469156554582004,0.2090590541481102,0.6634875623661034,1,0.5,,,0.2322097731052592,0
CYC1,"Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0246006372905765,0.1819364866542857,-0.0246006372905765,0.2572970469170025,0,0.0,,,0.2034877663124874,0
MFI2,Melanotransferrin OS=Homo sapiens GN=MFI2 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.079183811275183,0.1521443013302825,-0.079183811275183,0.2151645343790644,0,0.0,,,0.2005085477800871,0
CFH,Complement factor H OS=Homo sapiens GN=CFH PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0225358951268916,0.1897026109824885,0.0225358951268916,0.2682800052690224,0,0.0,,,0.2042643787453076,0
NFIC,Nuclear factor 1 C-type OS=Homo sapiens GN=NFIC PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0899583464928301,0.2180561272206088,-0.0899583464928301,0.3083779324739381,0,0.0,,,0.2070997303691197,0
VIM,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0261646077832217,0.1082547252626089,-0.0261646077832217,0.1530953006573549,0,0.0,,,0.1961195901733197,0
KRT19,"Keratin, type I cytoskeletal 19 OS=Homo sapiens GN=KRT19 PE=1 SV=4",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.073895766049264,0.3663928591965804,0.073895766049264,0.5181577506324597,0,0.0,,,0.2219334035667168,0
GNAI3,Guanine nucleotide-binding protein G(k) subunit alpha OS=Homo sapiens GN=GNAI3 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2121358999479939,0.2503538329478486,-0.2121358999479939,0.3540537859469357,0,0.0,,,0.2103295009418437,0
KRT16,"Keratin, type I cytoskeletal 16 OS=Homo sapiens GN=KRT16 PE=1 SV=4",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.098862892449504,0.1669030521926767,-0.098862892449504,0.236036560012348,0,0.0,,,0.2019844228663265,0
GSTP1,Glutathione S-transferase P OS=Homo sapiens GN=GSTP1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0467999187197654,0.3045927041253904,-0.0467999187197654,0.4307591331740225,0,0.0,,,0.2157533880595978,0
FBP1,"Fructose-1,6-bisphosphatase 1 OS=Homo sapiens GN=FBP1 PE=1 SV=5",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0458776890531299,0.1641126323032818,0.0458776890531299,0.2320903103600501,0,0.0,,,0.201705380877387,0
CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase OS=Homo sapiens GN=CNP PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1494440006905733,0.2267569617378465,-0.1494440006905733,0.3206827706521795,0,0.0,,,0.2079698138208434,0
COX6C,Cytochrome c oxidase subunit 6C OS=Homo sapiens GN=COX6C PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1243930518530627,0.2574424154458643,0.1243930518530627,0.3640785554536301,0,0.0,,,0.2110383591916452,0
PARP1,Poly [ADP-ribose] polymerase 1 OS=Homo sapiens GN=PARP1 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0152364909672829,0.0226114055033235,0.0152364909672829,0.0319773563271177,0,0.0,,,0.1875552581973912,0
CISD3,"CDGSH iron-sulfur domain-containing protein 3, mitochondrial OS=Homo sapiens GN=CISD3 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1400778123584293,0.1424809174056694,-0.1400778123584293,0.2014984457744585,0,0.0,,,0.1995422093876258,0
IGLC1,Ig lambda-1 chain C regions (Fragment) OS=Homo sapiens GN=IGLC1 PE=4 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0570747064461327,0.1052527504239856,-0.0570747064461327,0.148849867126671,0,0.0,,,0.1958193926894574,0
RBMY1C,"RNA-binding motif protein, Y chromosome, family 1 member C OS=Homo sapiens GN=RBMY1C PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0653318120991053,0.4210445682478064,-0.0653318120991053,0.5954469387795721,0,0.0,,,0.2273985744718394,0
THEGL,Testicular haploid expressed gene protein-like OS=Homo sapiens GN=THEGL PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1310309778738175,0.1435627570878069,-0.1310309778738175,0.2030283981252507,0,0.0,,,0.1996503933558395,0
SPATA31C1,Spermatogenesis-associated protein 31C1 OS=Homo sapiens GN=SPATA31C1 PE=2 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0762648172706714,0.2813191614932949,0.0762648172706714,0.3978453735392446,0,0.0,,,0.2134260337963883,0
RRAS,Ras-related protein R-Ras OS=Homo sapiens GN=RRAS PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1385271074301897,0.3042365930138444,0.1385271074301897,0.4302555160103624,0,0.0,,,0.2157177769484432,0
HLA-C,"HLA class I histocompatibility antigen, Cw-5 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0227049351740467,0.0525356160373766,0.0227049351740467,0.0742965807076835,0,0.0,,,0.1905476792507965,0
DLAT,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens GN=DLAT PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0326977100315216,0.0746814162743397,-0.0326977100315216,0.105615471752402,0,0.0,,,0.1927622592744928,0
TXN,Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.2557496493671941,0.2981257083791804,-0.2557496493671941,0.4216134200819232,1,0.5,,,0.2151066884849768,0
COX5B,"Cytochrome c oxidase subunit 5B, mitochondrial OS=Homo sapiens GN=COX5B PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0960883685535309,0.1487731113330609,0.0960883685535309,0.2103969517636572,0,0.0,,,0.2001714287803649,0
HSPD1,"60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0097915426825843,0.078642637126965,0.0097915426825843,0.1112174840057398,0,0.0,,,0.1931583813597553,0
HSPA5,78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1031161687619479,0.3128642895896772,-0.1031161687619479,0.4424569215199451,0,0.0,,,0.2165805466060265,0
LIPC,Hepatic triacylglycerol lipase OS=Homo sapiens GN=LIPC PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1037789933424181,0.1517251454671206,0.1037789933424181,0.2145717584726326,0,0.0,,,0.2004666321937709,0
PYGB,"Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1407246941086119,0.1647620561656359,-0.1407246941086119,0.2330087343939199,0,0.0,,,0.2017703232636224,0
RALA,Ras-related protein Ral-A OS=Homo sapiens GN=RALA PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.052355738593418,0.256875797651756,0.052355738593418,0.3632772368845202,0,0.0,,,0.2109816974122344,0
SPTB,"Spectrin beta chain, erythrocytic OS=Homo sapiens GN=SPTB PE=1 SV=5",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0279343867492666,0.2434632602085564,0.0279343867492666,0.3443090445265104,0,0.0,,,0.2096404436679144,0
TOP1,DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2651649466234214,0.3214374953794507,0.2651649466234214,0.4545812654208583,1,0.5,,,0.2174378671850039,0
PC,"Pyruvate carboxylase, mitochondrial OS=Homo sapiens GN=PC PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0015286190732024,0.111083132888529,0.0015286190732024,0.1570952730818506,0,0.0,,,0.1964024309359117,0
FABP2,"Fatty acid-binding protein, intestinal OS=Homo sapiens GN=FABP2 PE=1 SV=2",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.4100431988619881,0.4552614700681576,-0.4100431988619881,0.6438369453963014,1,0.5,,,0.2308202646538746,0
SLC25A4,ADP/ATP translocase 1 OS=Homo sapiens GN=SLC25A4 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0080222816586308,0.3004200449001065,-0.0080222816586308,0.4248581019064648,0,0.0,,,0.2153361221370694,0
PIP,Prolactin-inducible protein OS=Homo sapiens GN=PIP PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1721995784705865,0.1824775784897105,-0.1721995784705865,0.2580622663291496,0,0.0,,,0.2035418754960299,0
PEPD,Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0646700280969675,0.4367908500383711,0.0646700280969675,0.6177155440447372,1,0.5,,,0.2289732026508959,0
EEF2,Elongation factor 2 OS=Homo sapiens GN=EEF2 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0114254051450041,0.1357292851218398,0.0114254051450041,0.1919501958305106,0,0.0,,,0.1988670461592428,0
KRT13,"Keratin, type I cytoskeletal 13 OS=Homo sapiens GN=KRT13 PE=1 SV=4",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1323117796036777,0.2898022433222577,-0.1323117796036777,0.4098422629124845,0,0.0,,,0.2142743419792846,0
C6,Complement component C6 OS=Homo sapiens GN=C6 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0374537950302212,0.1366009736079465,-0.0374537950302212,0.1931829495097271,0,0.0,,,0.1989542150078534,0
ALAD,Delta-aminolevulinic acid dehydratase OS=Homo sapiens GN=ALAD PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0814127912269082,0.1788306330615315,-0.0814127912269082,0.2529047066433842,0,0.0,,,0.2031771809532119,0
AKR1A1,Alcohol dehydrogenase [NADP(+)] OS=Homo sapiens GN=AKR1A1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0091210393325214,0.084557478651814,-0.0091210393325214,0.1195823331094688,0,0.0,,,0.1937498655122402,0
MYL6B,Myosin light chain 6B OS=Homo sapiens GN=MYL6B PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1675615079151551,0.1843260099541288,0.1675615079151551,0.260676343175247,0,0.0,,,0.2037267186424717,0
SNRPB,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1597836383197901,0.1788657247948115,-0.1597836383197901,0.252954333848516,0,0.0,,,0.2031806901265399,0
COX6B1,Cytochrome c oxidase subunit 6B1 OS=Homo sapiens GN=COX6B1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0137002006844184,0.1431178710072382,-0.0137002006844184,0.2023992341963995,0,0.0,,,0.1996059047477826,0
JUP,Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1872656117897822,0.3652041451020301,0.1872656117897822,0.5164766550381628,1,0.5,,,0.2218145321572618,0
CPA3,Mast cell carboxypeptidase A OS=Homo sapiens GN=CPA3 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1869713707881032,0.2114298533738095,0.1869713707881032,0.2990069661317964,0,0.0,,,0.2064371029844398,0
PGAM2,Phosphoglycerate mutase 2 OS=Homo sapiens GN=PGAM2 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0523449059904679,0.1787630340008523,-0.0523449059904679,0.252809107134968,0,0.0,,,0.203170421047144,0
HIST1H1B,Histone H1.5 OS=Homo sapiens GN=HIST1H1B PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.3580011156754178,0.3896674012109747,-0.3580011156754178,0.5510729236072386,1,0.5,,,0.2242608577681563,0
ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 OS=Homo sapiens GN=ATP2A2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1763872357057832,0.2593216160765192,0.1763872357057832,0.3667361464719224,0,0.0,,,0.2112262792547107,0
ZFX,Zinc finger X-chromosomal protein OS=Homo sapiens GN=ZFX PE=2 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2678658789966028,0.5277342829215688,0.2678658789966028,0.7463289802369226,1,0.5,,,0.2380675459392157,0
CAPN2,Calpain-2 catalytic subunit OS=Homo sapiens GN=CAPN2 PE=1 SV=6,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0232773637038402,0.2978935888616397,-0.0232773637038402,0.4212851535121256,0,0.0,,,0.2150834765332228,0
DES,Desmin OS=Homo sapiens GN=DES PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1356005804865881,0.2894472603877047,0.1356005804865881,0.4093402412320288,0,0.0,,,0.2142388436858293,0
DDX5,Probable ATP-dependent RNA helicase DDX5 OS=Homo sapiens GN=DDX5 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0683687001180708,0.3436312651299515,0.0683687001180708,0.4859679956022023,0,0.0,,,0.219657244160054,0
PTPN1,Tyrosine-protein phosphatase non-receptor type 1 OS=Homo sapiens GN=PTPN1 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0711575786564461,0.2010033603552413,0.0711575786564461,0.2842616782969488,0,0.0,,,0.2053944536825829,0
RPL7,60S ribosomal protein L7 OS=Homo sapiens GN=RPL7 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.082386249447553,0.2627411355822231,0.082386249447553,0.3715720773336881,0,0.0,,,0.2115682312052811,0
PGAM1,Phosphoglycerate mutase 1 OS=Homo sapiens GN=PGAM1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0476369636405408,0.1281948891682396,-0.0476369636405408,0.1812949508886402,0,0.0,,,0.1981136065638828,0
KRT15,"Keratin, type I cytoskeletal 15 OS=Homo sapiens GN=KRT15 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0015338743411213,0.1221953424788868,0.0015338743411213,0.1728103105924669,0,0.0,,,0.1975136518949475,0
CDH2,Cadherin-2 OS=Homo sapiens GN=CDH2 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0677714547777806,0.0958537980198603,-0.0677714547777806,0.1355577411646577,0,0.0,,,0.1948794974490448,0
HK1,Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3,Unknown,Unknown,2,4,0.5,DOWN,2,2,-0.010914433445996,0.4962604225933544,-0.0286441757012741,0.5743305839173655,2,0.5,-0.0380074951661165,0.9720694580257556,0.2405062683012431,0
TRIM21,E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens GN=TRIM21 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0805440505984164,0.1932805155844234,0.0805440505984164,0.273339926481956,0,0.0,,,0.2046221692055012,0
ORM2,Alpha-1-acid glycoprotein 2 OS=Homo sapiens GN=ORM2 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0958473557939504,0.1455803545271675,-0.0958473557939504,0.2058817117874037,0,0.0,,,0.1998521530997755,0
CSNK2A2,Casein kinase II subunit alpha' OS=Homo sapiens GN=CSNK2A2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.041024712241745,0.2945328946050063,-0.041024712241745,0.4165324141154053,0,0.0,,,0.2147474071075594,0
EIF2S2,Eukaryotic translation initiation factor 2 subunit 2 OS=Homo sapiens GN=EIF2S2 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1032220935562351,0.4182732734695421,-0.1032220935562351,0.5915277361188169,1,0.5,,,0.227121444994013,0
AZU1,Azurocidin OS=Homo sapiens GN=AZU1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.131891349664062,0.2619710814899748,0.131891349664062,0.3704830563926697,0,0.0,,,0.2114912257960563,0
HIST1H2AD,Histone H2A type 1-D OS=Homo sapiens GN=HIST1H2AD PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0957863446273309,0.1929911726127178,0.0957863446273309,0.2729307337271926,0,0.0,,,0.2045932349083306,0
ITGAX,Integrin alpha-X OS=Homo sapiens GN=ITGAX PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0240964676586558,0.1429147008853566,0.0240964676586558,0.2021119082545655,0,0.0,,,0.1995855877355944,0
GSTM3,Glutathione S-transferase Mu 3 OS=Homo sapiens GN=GSTM3 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0706336626603433,0.1900865778131884,-0.0706336626603433,0.2688230163684998,0,0.0,,,0.2043027754283777,0
ATP6V1C1,V-type proton ATPase subunit C 1 OS=Homo sapiens GN=ATP6V1C1 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2555306495209137,0.3919841306600843,0.2555306495209137,0.5543492738145187,1,0.5,,,0.2244925307130672,0
CSRP1,Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.217334684941096,0.4291304421963974,0.217334684941096,0.6068820913813088,1,0.5,,,0.2282071618666986,0
MAOA,Amine oxidase [flavin-containing] A OS=Homo sapiens GN=MAOA PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0936999777819361,0.0966588469831514,0.0936999777819361,0.1366962523269184,0,0.0,,,0.1949600023453739,0
VDAC1,Voltage-dependent anion-selective channel protein 1 OS=Homo sapiens GN=VDAC1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0131846420645543,0.0506543533967479,0.0131846420645543,0.0716360735669206,0,0.0,,,0.1903595529867336,0
MUT,"Methylmalonyl-CoA mutase, mitochondrial OS=Homo sapiens GN=MUT PE=1 SV=4",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0528459983766333,0.1463410440644197,0.0528459983766333,0.206957489247741,0,0.0,,,0.1999282220535008,0
OSBP,Oxysterol-binding protein 1 OS=Homo sapiens GN=OSBP PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0023393484506085,0.249290802868443,0.0023393484506085,0.3525504343914298,0,0.0,,,0.2102231979339031,0
FBL,rRNA 2'-O-methyltransferase fibrillarin OS=Homo sapiens GN=FBL PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0078190508722113,0.1891421118562594,0.0078190508722113,0.2674873398030111,0,0.0,,,0.2042083288326847,0
SCP2,Non-specific lipid-transfer protein OS=Homo sapiens GN=SCP2 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0660105641840775,0.1643699399956305,0.0660105641840775,0.2324541983882725,0,0.0,,,0.2017311116466218,0
UBA1,Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0533759487900621,0.2761338818529395,0.0533759487900621,0.3905122807471569,0,0.0,,,0.2129075058323528,0
SPRR2D,Small proline-rich protein 2D OS=Homo sapiens GN=SPRR2D PE=2 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0941671555218409,0.116802482419051,-0.0941671555218409,0.165183654755867,0,0.0,,,0.1969743658889639,0
UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial OS=Homo sapiens GN=UQCRC2 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0032240373373123,0.024640870107745,-0.0032240373373123,0.0348474526950467,0,0.0,,,0.1877582046578333,0
PPIB,Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0704199578736727,0.0824777854080176,0.0704199578736727,0.1166412027185162,0,0.0,,,0.1935418961878605,0
NR2F2,COUP transcription factor 2 OS=Homo sapiens GN=NR2F2 PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.3205980127342177,0.4648596220768503,0.3205980127342177,0.657410782140713,1,0.5,,,0.2317800798547438,0
ACP1,Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0286497780762438,0.0705608806039939,0.0286497780762438,0.0997881543231569,0,0.0,,,0.1923502057074582,0
AZGP1,Zinc-alpha-2-glycoprotein OS=Homo sapiens GN=AZGP1 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0155861800999049,0.0414375056234131,0.0155861800999049,0.0586014824435422,0,0.0,,,0.1894378682094001,0
DNAJB1,DnaJ homolog subfamily B member 1 OS=Homo sapiens GN=DNAJB1 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0174508844765033,0.1058136829034262,0.0174508844765033,0.1496431454466714,0,0.0,,,0.1958754859374014,0
ATP5A1,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens GN=ATP5A1 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2660853581546474,0.3381231964459259,0.2660853581546474,0.4781784101667707,1,0.5,,,0.2191064372916514,0
RPL13,60S ribosomal protein L13 OS=Homo sapiens GN=RPL13 PE=1 SV=4,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0942824522028384,0.1910392446603378,0.0942824522028384,0.2701702907441616,0,0.0,,,0.2043980421130926,0
HMGB2,High mobility group protein B2 OS=Homo sapiens GN=HMGB2 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0456534874298589,0.1109306096833909,-0.0456534874298589,0.1568795726965676,0,0.0,,,0.1963871786153979,0
EEF1G,Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0375102558521142,0.1685642475629199,-0.0375102558521142,0.2383858450346973,0,0.0,,,0.2021505424033508,0
AK4,"Adenylate kinase 4, mitochondrial OS=Homo sapiens GN=AK4 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0549091407022136,0.1606930997303864,-0.0549091407022136,0.2272543610184848,0,0.0,,,0.2013634276200974,0
YWHAQ,14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1190062269796231,0.1314704292669302,0.1190062269796231,0.1859272641203054,0,0.0,,,0.1984411605737518,0
ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit OS=Homo sapiens GN=ATP6V0C PE=1 SV=1,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0619588077099979,0.1692439748755108,-0.0619588077099979,0.2393471246188788,0,0.0,,,0.2022185151346099,0
DPP4,Dipeptidyl peptidase 4 OS=Homo sapiens GN=DPP4 PE=1 SV=2,Unknown,Unknown,2,2,0.5,DOWN,1,1,0.0145810138013049,0.3098286245080313,0.0145810138013049,0.438163842790659,0,0.0,,,0.2162769800978619,0
NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial OS=Homo sapiens GN=NDUFS1 PE=1 SV=3",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.1169070803252926,0.152748209842313,0.1169070803252926,0.2160185899872106,0,0.0,,,0.2005689386312901,0
LAP3,Cytosol aminopeptidase OS=Homo sapiens GN=LAP3 PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0567713017901675,0.194944836491053,-0.0567713017901675,0.2756936316802527,0,0.0,,,0.2047886012961641,0
ARID4A,AT-rich interactive domain-containing protein 4A OS=Homo sapiens GN=ARID4A PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.1299582463840688,0.1553147340219785,-0.1299582463840688,0.219648203290252,0,0.0,,,0.2008255910492566,0
PML,Protein PML OS=Homo sapiens GN=PML PE=1 SV=3,Unknown,Unknown,2,2,0.5,DOWN,1,1,-0.0936331274370845,0.2914105453496309,-0.0936331274370845,0.4121167454519879,0,0.0,,,0.2144351721820219,0
PDHA2,"Pyruvate dehydrogenase E1 component subunit alpha, testis-specific form, mitochondrial OS=Homo sapiens GN=PDHA2 PE=1 SV=1",Unknown,Unknown,2,2,0.5,DOWN,1,1,0.2323256985734396,0.2887103150353673,0.2323256985734396,0.4082980431200254,1,0.5,,,0.2141651491505955,0
